,hotel,star,review,date,date
149,라까사 호텔 서울,5,집 같은 안정감 고급 퀄리티,2020. 12. 16,2020. 12. 16
150,라까사 호텔 서울,5,좋았습니다,2020. 12. 16,2020. 12. 16
151,라까사 호텔 서울,5,좋아요 이뻐요,2020. 12. 15,2020. 12. 15
152,라까사 호텔 서울,5,좋아요~~,2020. 12. 14,2020. 12. 14
153,라까사 호텔 서울,5,아주 좋았습니다,2020. 12. 13,2020. 12. 13
154,라까사 호텔 서울,5,방음 약간 부실해서 시끄러웠어요. 그거빼곤 무난,2020. 12. 11,2020. 12. 11
155,라까사 호텔 서울,5,최고의 숙소,2020. 12. 09,2020. 12. 09
156,라까사 호텔 서울,5,굿ㅇㅇㅇㅇㅇㅇ,2020. 12. 07,2020. 12. 07
157,라까사 호텔 서울,5,가성비좋은 호텔입니다,2020. 12. 05,2020. 12. 05
158,라까사 호텔 서울,5,너무 포근하고 좋아요,2020. 12. 04,2020. 12. 04
159,라까사 호텔 서울,5,가격대비 만족 100000%,2020. 11. 29,2020. 11. 29
160,라까사 호텔 서울,5,교통도 편리하고 접근성이 매우 좋고 직원분들도 친절하십니다!,2020. 11. 29,2020. 11. 29
161,라까사 호텔 서울,2,"옆방 방음이 너무 안되네요. 
새벽 한시에 옆방 투숙객 신음 소리에 잠을 설쳤습니다.
그 분들이야 사랑을 나누시다보니 그럴 수 있다 치지만, 방음이 너무 안되네요.
무슨 얘기 하시는지도 다 들리네요.",2020. 11. 29,2020. 11. 29
162,라까사 호텔 서울,3,"모기가 너무 많고, 너무 더운데 에어컨을 못트네요. 그거 외엔 조용하고 좋았어요",2020. 11. 28,2020. 11. 28
163,라까사 호텔 서울,5,Best of the best,2020. 11. 26,2020. 11. 26
164,라까사 호텔 서울,4,항상 좋아요!🤗,2020. 11. 24,2020. 11. 24
165,라까사 호텔 서울,5,깔끔인테리어좋음집가까움,2020. 11. 22,2020. 11. 22
166,라까사 호텔 서울,5,"집 근처에 위치한 호텔로, 가로수길과 도산공원에서 데이트하다가 들어오기 좋습니다. 교통 및 접근성이 워낙 좋고.. 뷰도 도로쪽으로 되어 있어서 답답하지 않습니다. 방도 나름 한정된 자원 내에서 색다르게 꾸며보려고 한 느낌이 납니다.
큰 기대를 한다면 조금 못미칠 수 있지만 나름 괜찮아서 두어번 이용하고 있어요.",2020. 11. 21,2020. 11. 21
167,라까사 호텔 서울,5,야경최고예요,2020. 11. 20,2020. 11. 20
168,라까사 호텔 서울,5,너무좋아요,2020. 11. 20,2020. 11. 20
169,라까사 호텔 서울,5,Nice and cozy,2020. 11. 20,2020. 11. 20
170,라까사 호텔 서울,5,매번 잘 머물다 갑니다.,2020. 11. 19,2020. 11. 19
171,라까사 호텔 서울,2,"시설이 낙후된건지 뭔지. 김영수 위원장님이 추천해줘서 그날 뵙고 숙박도 예약했는데, 밤새 온풍기에서는 달달달 소리나고, 내돈 내고 왜 이런곳에서 자는거지? 온풍기 때문에 환불받고 집가서 자고싶었음. 무튼 잠을 못잠 ㅡㅡ",2020. 11. 18,2020. 11. 18
172,라까사 호텔 서울,5,"세번째 방문입니다.
이번에는 욕조가 있어서 편하게 반신욕도 하고..
잘 쉬고 있습니다.",2020. 11. 17,2020. 11. 17
173,라까사 호텔 서울,5,조용하고 좋았어요,2020. 11. 17,2020. 11. 17
174,라까사 호텔 서울,5,침대도푹신하고 만족스러웠습니다!,2020. 11. 16,2020. 11. 16
175,라까사 호텔 서울,5,너무좋았어요,2020. 11. 12,2020. 11. 12
176,라까사 호텔 서울,4,인테리어가 뭔가 북유럽느낌나서 여행온 느낌이었어요 ㅎㅎ 근데 욕실에 물때가 좀 있었고 방음이 넘 안돼서 아쉬웠어요 그거 빼면 포근하고 좋았어요,2020. 11. 09,2020. 11. 09
177,라까사 호텔 서울,5,"가로수길..가기 좋고.
조용하고..좋아요..
타워주차라..출차시간 10분 정도 걸리고..
객실은 생각보다 작네요",2020. 11. 08,2020. 11. 08
178,라까사 호텔 서울,5,너무  깨끗하고  좋았어요,2020. 11. 06,2020. 11. 06
179,라까사 호텔 서울,5,강남 최고,2020. 11. 05,2020. 11. 05
180,라까사 호텔 서울,5,특별한 할로윈 너무 잘 보냈습니다❤😊,2020. 11. 01,2020. 11. 01
181,라까사 호텔 서울,5,"객실 및 건물이 매우 고급스럽습니다
직원들도 너무 친절 했으며, 식당 음식들도 맛있었습니다
그중에서도!!!!
제 맘에 쏙들었던것은 바로 수압과 수온!!
그 작은 수도꼭지에서 폭포수가 나오며, 조금만 따뜻한 물쪽으로 돌려도 흡사 끓는물이 나와서 욕조에 몸 담궈 피로 풀기 너무 편하고 좋았어요
다음에 또 오겠습니다더보기",2020. 10. 31,2020. 10. 31
